SUB_DISTRICT,TYPE,STATE,CENSUS_CODE_2001,NAME,DISTRICT
Kadi,Village,Gujarat,2404000900331200,Valavdi,Mahesana
Santrampur,Village,Gujarat,2417000301175400,Sanbar,Panch Mahals
Bayad,Village,Gujarat,2405001300470600,Deroli,Sabar Kantha
Jhalod,Village,Gujarat,2418000201272700,Anvarpura,Dohad
Lunawada,Village,Gujarat,2417000401187400,Semrana Muvada,Panch Mahals
Santrampur,Village,Gujarat,2417000301174400,Kenpur,Panch Mahals
Balasinor,Village,Gujarat,2416000301094200,Alela,Kheda
Virpur,Village,Gujarat,2416000201093100,Tajpur,Kheda
Lunawada,Village,Gujarat,2417000401187500,Maliya,Panch Mahals
Santrampur,Village,Gujarat,2417000301171600,Moyala Pad,Panch Mahals
Viramgam,Village,Gujarat,2407000300512600,Rangpur,Ahmadabad
Santrampur,Village,Gujarat,2417000301173800,Vaghfal,Panch Mahals
Lunawada,Village,Gujarat,2417000401190300,Chavadiya,Panch Mahals
Jhalod,Village,Gujarat,2418000201272900,Rajpur,Dohad
Ahmadabad City,Village,Gujarat,2407000500522600,Tragad,Ahmadabad
Gandhinagar,Village,Gujarat,2406000300489300,Sugad,Gandhinagar
Jhalod,Village,Gujarat,2418000201272800,Sitavatli,Dohad
Daskroi,Town,Gujarat,2407000640706000,Chandlodiya (M+OG) (Part),Ahmadabad
Fatepura,Village,Gujarat,2418000101271200,Margala,Dohad
Kapadvanj,Village,Gujarat,2416000101082000,Pathoda,Kheda
Santrampur,Village,Gujarat,2417000301175500,Umber,Panch Mahals
Fatepura,Village,Gujarat,2418000101271000,Kanthagar,Dohad
Kapadvanj,Village,Gujarat,2416000101080700,Zanda,Kheda
Bhuj,Village,Gujarat,2401000500048000,Naranpar Pasayati,Kachchh
Santrampur,Village,Gujarat,2417000301175300,Ranela,Panch Mahals
Gandhinagar,Village,Gujarat,2406000300489800,Limbadia,Gandhinagar
Dehgam,Village,Gujarat,2406000400496200,Vasna Sogthi,Gandhinagar
Jhalod,Village,Gujarat,2418000201273300,Shankarpura,Dohad
Lunawada,Village,Gujarat,2417000401184800,Salawada,Panch Mahals
Santrampur,Village,Gujarat,2417000301175000,Bhotva (East),Panch Mahals
Dehgam,Village,Gujarat,2406000400495700,Sambela,Gandhinagar
Gandhinagar,Village,Gujarat,2406000300488800,Sonarda,Gandhinagar
Santrampur,Village,Gujarat,2417000301174900,Kaliya Amba,Panch Mahals
Bhuj,Village,Gujarat,2401000500046500,Sakrai Timbo,Kachchh
Lunawada,Village,Gujarat,2417000401193800,Ukedi,Panch Mahals
Dehgam,Village,Gujarat,2406000400495600,Moti Pavthi,Gandhinagar
Lunawada,Village,Gujarat,2417000401184700,Kanela,Panch Mahals
Kadi,Village,Gujarat,2404000900331400,Panthoda,Mahesana
Jhalod,Village,Gujarat,2418000201273000,Velpura,Dohad
Jhalod,Village,Gujarat,2418000201273500,Timachi,Dohad
Gandhidham,Village,Gujarat,2401001000094500,Mithi Rohar,Kachchh
Dehgam,Village,Gujarat,2406000400497300,Amrajina Muvada,Gandhinagar
Kapadvanj,Village,Gujarat,2416000101080600,Lalpur (Nirmali),Kheda
Dehgam,Village,Gujarat,2406000400495900,Mahudiya,Gandhinagar
Dehgam,Village,Gujarat,2406000400496600,Jalundra Mota,Gandhinagar
Lunawada,Village,Gujarat,2417000401194000,Godna Muvada,Panch Mahals
Dehgam,Village,Gujarat,2406000400497700,Bobha,Gandhinagar
Dehgam,Village,Gujarat,2406000400496400,Palundra,Gandhinagar
Mandvi,Village,Gujarat,2401000800079300,Makda,Kachchh
Lunawada,Village,Gujarat,2417000401187300,Koliyani Muvadi,Panch Mahals
Lunawada,Village,Gujarat,2417000401187600,Juna Kalava,Panch Mahals
Daskroi,Village,Gujarat,2407000600523100,Chharodi,Ahmadabad
Kapadvanj,Village,Gujarat,2416000101080500,Nirmali,Kheda
Fatepura,Village,Gujarat,2418000101270800,Patadiya,Dohad
Santrampur,Village,Gujarat,2417000301174300,Vandariya (West),Panch Mahals
Fatepura,Village,Gujarat,2418000101270700,Kundla,Dohad
Halvad,Village,Gujarat,2408000100555800,Miyani,Surendranagar
Gandhinagar,Village,Gujarat,2406000300490000,Medra,Gandhinagar
Lunawada,Village,Gujarat,2417000401186300,Ucharpi,Panch Mahals
Santrampur,Village,Gujarat,2417000301175100,Kaduchi,Panch Mahals
Santrampur,Village,Gujarat,2417000301174200,Vankdi,Panch Mahals
Lunawada,Village,Gujarat,2417000401187100,Godariya,Panch Mahals
Gandhinagar,Town,Gujarat,2406000340607000,Chandkheda,Gandhinagar
Kalol,Village,Gujarat,2406000100476500,Sanavad,Gandhinagar
Abdasa,Village,Gujarat,2401000700076000,Ishawali Vandh,Kachchh
Dehgam,Village,Gujarat,2406000400496300,Chiskari,Gandhinagar
Dasada,Village,Gujarat,2408000300574600,Nana Goraiya,Surendranagar
Lunawada,Village,Gujarat,2417000401187000,Chandpur,Panch Mahals
Kapadvanj,Village,Gujarat,2416000101080300,Telnar,Kheda
Lunawada,Village,Gujarat,2417000401185900,Sadhakpur,Panch Mahals
Mandvi,Village,Gujarat,2401000800080300,Virani,Kachchh
Bhuj,Village,Gujarat,2401000500048100,Baladiya,Kachchh
Santrampur,Village,Gujarat,2417000301175700,Motirel (West),Panch Mahals
Fatepura,Village,Gujarat,2418000101271100,Sagdapada,Dohad
Santrampur,Village,Gujarat,2417000301177000,Chinchani,Panch Mahals
Bhuj,Village,Gujarat,2401000500048200,Kotda Athamana,Kachchh
Dehgam,Village,Gujarat,2406000400497100,Vatva,Gandhinagar
Dasada,Village,Gujarat,2408000300574400,Kamalpur,Surendranagar
Viramgam,Village,Gujarat,2407000300512700,Nani Kumad,Ahmadabad
Halvad,Village,Gujarat,2408000100555700,Mayapur,Surendranagar
Kapadvanj,Village,Gujarat,2416000101080400,Vyasjina Muvada,Kheda
Santrampur,Village,Gujarat,2417000301176800,Sukatimba,Panch Mahals
Lunawada,Village,Gujarat,2417000401194100,Moti Zanzari,Panch Mahals
Kalol,Village,Gujarat,2406000100477100,Mulasana,Gandhinagar
Kapadvanj,Village,Gujarat,2416000101081800,Kashipura,Kheda
Santrampur,Village,Gujarat,2417000301174100,Panchmuva,Panch Mahals
Lunawada,Village,Gujarat,2417000401190400,Tanachhia,Panch Mahals
Kadi,Village,Gujarat,2404000900331500,Nadan,Mahesana
Santrampur,Village,Gujarat,2417000301176900,Moralnaka,Panch Mahals
Abdasa,Village,Gujarat,2401000700077700,Khirsara (Vinjhan),Kachchh
Dehgam,Village,Gujarat,2406000400497800,Fuljina Muvada,Gandhinagar
Kalol,Village,Gujarat,2406000100477000,Adhana,Gandhinagar
Mandvi,Village,Gujarat,2401000800080600,Mau Moti,Kachchh
Lunawada,Village,Gujarat,2417000401186900,Pattan,Panch Mahals
Gandhinagar,Village,Gujarat,2406000300490100,Raipur,Gandhinagar
Mandvi,Village,Gujarat,2401000800080400,Gadhsisa,Kachchh
Mandvi,Village,Gujarat,2401000800080200,Bheraiya,Kachchh
Jhalod,Village,Gujarat,2418000201273200,Mun Khosla,Dohad
Fatepura,Village,Gujarat,2418000101271300,Javesi,Dohad
Kapadvanj,Village,Gujarat,2416000101082100,Vaghas,Kheda
Sanand,Village,Gujarat,2407000400516000,Virochannagar,Ahmadabad
Lunawada,Village,Gujarat,2417000401187200,Gadhanpur,Panch Mahals
Anjar,Village,Gujarat,2401000400030600,Khambhara,Kachchh
Lunawada,Village,Gujarat,2417000401190500,Dholi,Panch Mahals
Lunawada,Village,Gujarat,2417000401186400,Untadi,Panch Mahals
Abdasa,Village,Gujarat,2401000700077800,Raydhanjar,Kachchh
Kapadvanj,Village,Gujarat,2416000101081900,Suki,Kheda
Jhalod,Town,Gujarat,2418000241801000,Zalod,Dohad
Santrampur,Village,Gujarat,2417000301174000,Rambhemna Muvada,Panch Mahals
Bhuj,Village,Gujarat,2401000500048300,Jambudi,Kachchh
Dhrangadhra,Village,Gujarat,2408000200562800,Vaghgadh,Surendranagar
Bhuj,Village,Gujarat,2401000500046400,Tharavada Mota,Kachchh
Lunawada,Village,Gujarat,2417000401193700,Karna Bariana Muvada,Panch Mahals
Lunawada,Village,Gujarat,2417000401186700,Kaslal,Panch Mahals
Lunawada,Village,Gujarat,2417000401194200,Nani Zanzari,Panch Mahals
Balasinor,Village,Gujarat,2416000301094300,Gundela,Kheda
Jhalod,Village,Gujarat,2418000201273800,Gamdi,Dohad
Mandvi,Village,Gujarat,2401000800080000,Jamthada,Kachchh
Dasada,Village,Gujarat,2408000300574800,Pipli,Surendranagar
Lunawada,Village,Gujarat,2417000401186200,Vakhatpur (Ko-Mahal),Panch Mahals
Gandhinagar,Town,Gujarat,2406000340609000,Chiloda(Naroda),Gandhinagar
Kalol,Village,Gujarat,2406000100476700,Rakanpur,Gandhinagar
Kapadvanj,Village,Gujarat,2416000101083000,Thavad,Kheda
Maliya,Village,Gujarat,2409000100620100,Jajasar,Rajkot
Halvad,Village,Gujarat,2408000100555600,Ingorala,Surendranagar
Santrampur,Village,Gujarat,2417000301176300,Sarasva (West),Panch Mahals
Anjar,Village,Gujarat,2401000400031800,Sinugra,Kachchh
Anjar,Village,Gujarat,2401000400030500,Nagalpar Moti,Kachchh
Kalol,Village,Gujarat,2406000100476900,Nasmed,Gandhinagar
Lunawada,Village,Gujarat,2417000401194300,Chandsar,Panch Mahals
Gandhinagar,Village,Gujarat,2406000300489900,Ranasan,Gandhinagar
Lunawada,Village,Gujarat,2417000401185600,Zufarali,Panch Mahals
Viramgam,Village,Gujarat,2407000300512900,Hansalpur Sereshvar,Ahmadabad
Dehgam,Village,Gujarat,2406000400497600,Bariya,Gandhinagar
Lunawada,Village,Gujarat,2417000401190900,Champeli,Panch Mahals
Santrampur,Village,Gujarat,2417000301173900,Nan Salai,Panch Mahals
Lunawada,Village,Gujarat,2417000401185700,Denta,Panch Mahals
